,GEOID,id,coffee_count
0,36005002300,2,2
1,36005002500,1,1
2,36005002702,1,1
3,36005004300,1,1
4,36005005100,2,2
5,36005005600,1,1
6,36005005902,2,2
7,36005006500,2,2
8,36005007100,1,1
9,36005007600,2,2
10,36005007800,1,1
11,36005008300,1,1
12,36005008900,1,1
13,36005009200,1,1
14,36005009600,1,1
15,36005011502,1,1
16,36005012701,1,1
17,36005013000,1,1
18,36005013100,2,2
19,36005014100,2,2
20,36005014500,1,1
21,36005016200,2,2
22,36005016400,1,1
23,36005016500,1,1
24,36005016600,1,1
25,36005017701,1,1
26,36005018301,2,2
27,36005018302,1,1
28,36005019400,1,1
29,36005020000,1,1
30,36005020601,1,1
31,36005021200,1,1
32,36005021602,1,1
33,36005022101,2,2
34,36005022300,1,1
35,36005022401,1,1
36,36005022404,1,1
37,36005023703,3,3
38,36005023900,1,1
39,36005024300,1,1
40,36005024400,1,1
41,36005025000,1,1
42,36005025200,1,1
43,36005025400,1,1
44,36005026601,1,1
45,36005026602,2,2
46,36005026701,2,2
47,36005028500,1,1
48,36005028600,4,4
49,36005028900,3,3
50,36005029301,1,1
51,36005029500,1,1
52,36005029600,1,1
53,36005029700,1,1
54,36005030000,2,2
55,36005031000,1,1
56,36005031200,1,1
57,36005032600,1,1
58,36005033201,1,1
59,36005033202,1,1
60,36005033700,1,1
61,36005034200,1,1
62,36005034400,1,1
63,36005034500,1,1
64,36005035100,3,3
65,36005035600,2,2
66,36005036502,1,1
67,36005038000,1,1
68,36005038500,2,2
69,36005038700,2,2
70,36005038900,2,2
71,36005039100,4,4
72,36005039300,1,1
73,36005039901,1,1
74,36005040304,2,2
75,36005040702,1,1
76,36005040900,1,1
77,36005041100,1,1
78,36005041500,1,1
79,36005042100,1,1
80,36005042200,1,1
81,36005042300,2,2
82,36005042400,1,1
83,36005043400,2,2
84,36005043500,1,1
85,36005044901,1,1
86,36005048400,1,1
87,36005050400,1,1
88,36047000100,3,3
89,36047000200,2,2
90,36047000501,2,2
91,36047000502,1,1
92,36047000700,3,3
93,36047000900,7,7
94,36047001100,7,7
95,36047001500,2,2
96,36047002100,6,6
97,36047002200,1,1
98,36047002300,1,1
99,36047003300,2,2
100,36047003500,2,2
101,36047003700,6,6
102,36047003900,1,1
103,36047004100,3,3
104,36047004300,5,5
105,36047004500,7,7
106,36047005800,3,3
107,36047005900,2,2
108,36047006000,4,4
109,36047006200,3,3
110,36047006300,1,1
111,36047006500,10,10
112,36047006600,4,4
113,36047006700,2,2
114,36047006800,5,5
115,36047006900,4,4
116,36047007400,5,5
117,36047007500,2,2
118,36047007600,2,2
119,36047007700,1,1
120,36047008000,2,2
121,36047008400,3,3
122,36047008500,1,1
123,36047008600,1,1
124,36047009200,1,1
125,36047009400,1,1
126,36047010000,2,2
127,36047010100,1,1
128,36047010400,4,4
129,36047010600,3,3
130,36047010800,2,2
131,36047011200,1,1
132,36047011400,2,2
133,36047011700,1,1
134,36047011800,3,3
135,36047011900,1,1
136,36047012000,1,1
137,36047012100,2,2
138,36047012600,1,1
139,36047012700,2,2
140,36047012901,2,2
141,36047012902,3,3
142,36047013000,3,3
143,36047013100,1,1
144,36047013200,1,1
145,36047013300,2,2
146,36047013500,3,3
147,36047013600,2,2
148,36047013700,2,2
149,36047013800,1,1
150,36047013900,2,2
151,36047014000,1,1
152,36047014100,2,2
153,36047014300,2,2
154,36047014500,4,4
155,36047014700,1,1
156,36047014800,2,2
157,36047015100,6,6
158,36047015300,3,3
159,36047015500,3,3
160,36047015700,5,5
161,36047015900,3,3
162,36047016000,4,4
163,36047016100,1,1
164,36047016200,2,2
165,36047016300,2,2
166,36047016900,5,5
167,36047017200,1,1
168,36047017600,1,1
169,36047018100,2,2
170,36047018200,2,2
171,36047018300,2,2
172,36047018501,1,1
173,36047018700,4,4
174,36047019100,3,3
175,36047019300,1,1
176,36047019400,1,1
177,36047019500,1,1
178,36047019600,1,1
179,36047019700,1,1
180,36047019800,1,1
181,36047019900,1,1
182,36047020000,4,4
183,36047020100,3,3
184,36047020300,4,4
185,36047020500,3,3
186,36047020700,1,1
187,36047021400,1,1
188,36047021700,7,7
189,36047021900,2,2
190,36047022000,1,1
191,36047022100,1,1
192,36047022700,2,2
193,36047023100,2,2
194,36047023300,3,3
195,36047023500,2,2
196,36047024000,1,1
197,36047024100,1,1
198,36047024300,2,2
199,36047024500,1,1
200,36047024600,1,1
201,36047024700,2,2
202,36047024800,3,3
203,36047024900,1,1
204,36047025100,2,2
205,36047025300,2,2
206,36047025901,1,1
207,36047026000,2,2
208,36047026200,1,1
209,36047026400,2,2
210,36047026500,3,3
211,36047026700,3,3
212,36047026900,2,2
213,36047027300,2,2
214,36047027500,2,2
215,36047027600,1,1
216,36047027700,1,1
217,36047027800,2,2
218,36047028100,1,1
219,36047028300,1,1
220,36047028400,2,2
221,36047028501,2,2
222,36047028600,1,1
223,36047028700,5,5
224,36047028800,3,3
225,36047029000,2,2
226,36047029400,1,1
227,36047029500,2,2
228,36047029600,2,2
229,36047029700,1,1
230,36047029800,1,1
231,36047030900,1,1
232,36047031500,2,2
233,36047031701,2,2
234,36047031702,3,3
235,36047032100,2,2
236,36047032300,1,1
237,36047032500,1,1
238,36047032700,1,1
239,36047032800,1,1
240,36047033700,1,1
241,36047033900,1,1
242,36047034700,1,1
243,36047034800,1,1
244,36047034900,1,1
245,36047035000,2,2
246,36047035400,1,1
247,36047036001,1,1
248,36047036002,3,3
249,36047036200,1,1
250,36047036400,1,1
251,36047036501,1,1
252,36047037000,1,1
253,36047037300,4,4
254,36047037401,1,1
255,36047037500,2,2
256,36047037700,1,1
257,36047038300,1,1
258,36047038600,1,1
259,36047038700,1,1
260,36047038900,1,1
261,36047039100,1,1
262,36047039300,3,3
263,36047039400,2,2
264,36047039500,1,1
265,36047039900,1,1
266,36047040000,2,2
267,36047040200,1,1
268,36047040500,1,1
269,36047040900,1,1
270,36047041200,1,1
271,36047041600,1,1
272,36047041800,1,1
273,36047042300,2,2
274,36047042400,1,1
275,36047042500,4,4
276,36047042600,1,1
277,36047042700,1,1
278,36047042900,3,3
279,36047043100,3,3
280,36047043200,3,3
281,36047043800,2,2
282,36047043900,3,3
283,36047044100,7,7
284,36047044300,2,2
285,36047044500,2,2
286,36047044700,6,6
287,36047045300,3,3
288,36047045600,1,1
289,36047046000,1,1
290,36047046400,2,2
291,36047047700,2,2
292,36047047800,2,2
293,36047048000,1,1
294,36047048400,1,1
295,36047048500,4,4
296,36047049100,2,2
297,36047049200,2,2
298,36047049300,5,5
299,36047049400,1,1
300,36047049500,8,8
301,36047049600,1,1
302,36047049700,4,4
303,36047049900,2,2
304,36047050000,1,1
305,36047050100,1,1
306,36047050202,1,1
307,36047050300,5,5
308,36047050400,2,2
309,36047050500,2,2
310,36047050600,2,2
311,36047050804,1,1
312,36047051001,1,1
313,36047051100,1,1
314,36047051200,1,1
315,36047051300,4,4
316,36047051400,2,2
317,36047051700,2,2
318,36047051900,6,6
319,36047052000,8,8
320,36047052300,7,7
321,36047052500,3,3
322,36047052600,2,2
323,36047052700,1,1
324,36047052900,1,1
325,36047053100,1,1
326,36047053200,1,1
327,36047053800,2,2
328,36047054900,2,2
329,36047055000,2,2
330,36047055100,7,7
331,36047055200,4,4
332,36047055300,17,17
333,36047055400,2,2
334,36047055500,16,16
335,36047055700,5,5
336,36047056300,1,1
337,36047056400,1,1
338,36047056500,4,4
339,36047056900,6,6
340,36047057100,3,3
341,36047057300,2,2
342,36047057500,8,8
343,36047057600,1,1
344,36047057800,2,2
345,36047058000,2,2
346,36047058200,1,1
347,36047059000,1,1
348,36047059100,1,1
349,36047060800,2,2
350,36047061003,1,1
351,36047061004,1,1
352,36047061600,1,1
353,36047062800,2,2
354,36047063200,2,2
355,36047066200,1,1
356,36047066600,1,1
357,36047067000,1,1
358,36047067400,2,2
359,36047067600,1,1
360,36047070000,1,1
361,36047072000,1,1
362,36047073600,2,2
363,36047074200,1,1
364,36047076800,2,2
365,36047077400,6,6
366,36047079601,2,2
367,36047079602,1,1
368,36047079801,2,2
369,36047079802,3,3
370,36047080000,2,2
371,36047080400,2,2
372,36047080600,1,1
373,36047081600,1,1
374,36047081800,1,1
375,36047082400,1,1
376,36047086400,1,1
377,36047087800,1,1
378,36047089200,1,1
379,36047092200,1,1
380,36047092400,1,1
381,36047095000,1,1
382,36047095600,1,1
383,36047096000,1,1
384,36047096800,1,1
385,36047098400,1,1
386,36047102200,1,1
387,36047105801,1,1
388,36047107800,1,1
389,36047111600,1,1
390,36047114201,1,1
391,36047116800,1,1
392,36047117800,2,2
393,36047118800,1,1
394,36047119800,1,1
395,36047120000,1,1
396,36047150200,1,1
397,36047152200,1,1
398,36057070800,2,2
399,36059300300,2,2
400,36059300700,5,5
401,36059300800,3,3
402,36059301101,1,1
403,36059301300,3,3
404,36059301500,4,4
405,36059301600,1,1
406,36059301700,1,1
407,36059301800,4,4
408,36059302000,1,1
409,36059302101,2,2
410,36059302200,4,4
411,36059302700,1,1
412,36059302800,5,5
413,36059303000,2,2
414,36059303201,1,1
415,36059303202,1,1
416,36059303301,1,1
417,36059303302,1,1
418,36059303500,1,1
419,36059303600,7,7
420,36059303700,1,1
421,36059303800,8,8
422,36059303900,1,1
423,36059304001,3,3
424,36059304002,2,2
425,36059304202,1,1
426,36059404300,1,1
427,36059404500,1,1
428,36059404600,1,1
429,36059404902,1,1
430,36059405100,2,2
431,36059405301,2,2
432,36059405400,2,2
433,36059405500,2,2
434,36059405700,2,2
435,36059405800,1,1
436,36059405900,1,1
437,36059406001,5,5
438,36059406501,3,3
439,36059406600,3,3
440,36059406701,1,1
441,36059407204,2,2
442,36059407301,1,1
443,36059407302,1,1
444,36059407600,1,1
445,36059407801,1,1
446,36059407802,1,1
447,36059408000,1,1
448,36059408300,1,1
449,36059408600,1,1
450,36059408800,1,1
451,36059408900,2,2
452,36059409000,2,2
453,36059409200,1,1
454,36059409500,1,1
455,36059409700,2,2
456,36059409800,1,1
457,36059409900,3,3
458,36059410200,1,1
459,36059410400,2,2
460,36059410500,3,3
461,36059410700,1,1
462,36059411200,7,7
463,36059411302,1,1
464,36059411400,1,1
465,36059411700,1,1
466,36059411901,4,4
467,36059412301,3,3
468,36059412302,1,1
469,36059412700,2,2
470,36059413001,1,1
471,36059413002,3,3
472,36059413100,1,1
473,36059413200,2,2
474,36059413300,1,1
475,36059413500,2,2
476,36059413600,1,1
477,36059413700,2,2
478,36059414303,1,1
479,36059414304,1,1
480,36059414700,1,1
481,36059414800,1,1
482,36059414900,1,1
483,36059415000,1,1
484,36059415101,2,2
485,36059415201,5,5
486,36059415300,1,1
487,36059415401,2,2
488,36059415600,2,2
489,36059416000,1,1
490,36059416100,1,1
491,36059416202,3,3
492,36059416401,2,2
493,36059416500,2,2
494,36059416701,2,2
495,36059517200,5,5
496,36059517400,1,1
497,36059517500,2,2
498,36059518000,1,1
499,36059518204,4,4
500,36059518300,1,1
501,36059518501,1,1
502,36059518502,4,4
503,36059518600,1,1
504,36059518700,2,2
505,36059518800,1,1
506,36059518900,1,1
507,36059519000,2,2
508,36059519100,2,2
509,36059519200,1,1
510,36059519400,1,1
511,36059519601,3,3
512,36059519702,1,1
513,36059519704,1,1
514,36059519802,1,1
515,36059520002,3,3
516,36059520200,3,3
517,36059520401,1,1
518,36059520402,3,3
519,36059521100,1,1
520,36059521200,1,1
521,36059521301,1,1
522,36059521601,2,2
523,36059521700,1,1
524,36059521801,1,1
525,36059521802,1,1
526,36059522000,2,2
527,36061000100,18,18
528,36061000500,1,1
529,36061000600,2,2
530,36061000700,25,25
531,36061000800,1,1
532,36061000900,2,2
533,36061001200,1,1
534,36061001300,58,58
535,36061001401,10,10
536,36061001402,4,4
537,36061001501,9,9
538,36061001502,2,2
539,36061001600,12,12
540,36061001800,13,13
541,36061002100,37,37
542,36061002601,2,2
543,36061002602,1,1
544,36061002700,5,5
545,36061002900,5,5
546,36061003001,13,13
547,36061003002,4,4
548,36061003100,12,12
549,36061003200,9,9
550,36061003300,9,9
551,36061003400,11,11
552,36061003601,1,1
553,36061003602,3,3
554,36061003700,8,8
555,36061003800,12,12
556,36061003900,3,3
557,36061004000,14,14
558,36061004100,12,12
559,36061004200,9,9
560,36061004300,19,19
561,36061004500,21,21
562,36061004700,11,11
563,36061004800,4,4
564,36061004900,18,18
565,36061005000,6,6
566,36061005200,12,12
567,36061005400,7,7
568,36061005501,7,7
569,36061005502,6,6
570,36061005600,8,8
571,36061005700,9,9
572,36061005800,18,18
573,36061005900,9,9
574,36061006100,14,14
575,36061006300,6,6
576,36061006400,5,5
577,36061006500,19,19
578,36061006600,2,2
579,36061006700,20,20
580,36061006800,15,15
581,36061007000,4,4
582,36061007100,11,11
583,36061007200,9,9
584,36061007300,17,17
585,36061007400,18,18
586,36061007500,9,9
587,36061007600,25,25
588,36061007700,10,10
589,36061007800,1,1
590,36061007900,43,43
591,36061008000,12,12
592,36061008100,8,8
593,36061008200,16,16
594,36061008300,10,10
595,36061008400,18,18
596,36061008601,1,1
597,36061008700,4,4
598,36061008800,10,10
599,36061008900,7,7
600,36061009000,5,5
601,36061009100,12,12
602,36061009200,30,30
603,36061009300,8,8
604,36061009400,22,22
605,36061009500,9,9
606,36061009600,15,15
607,36061009700,1,1
608,36061009800,4,4
609,36061009900,13,13
610,36061010000,19,19
611,36061010100,17,17
612,36061010200,8,8
613,36061010300,5,5
614,36061010400,17,17
615,36061010800,8,8
616,36061010900,20,20
617,36061011000,4,4
618,36061011100,11,11
619,36061011201,14,14
620,36061011202,3,3
621,36061011203,8,8
622,36061011300,22,22
623,36061011401,2,2
624,36061011402,6,6
625,36061011500,12,12
626,36061011600,1,1
627,36061011700,5,5
628,36061011800,8,8
629,36061011900,6,6
630,36061012000,9,9
631,36061012100,9,9
632,36061012200,2,2
633,36061012400,4,4
634,36061012500,17,17
635,36061012600,4,4
636,36061012700,5,5
637,36061012800,5,5
638,36061012900,1,1
639,36061013000,3,3
640,36061013100,12,12
641,36061013200,3,3
642,36061013300,8,8
643,36061013400,8,8
644,36061013500,64,64
645,36061013600,2,2
646,36061013700,12,12
647,36061013800,5,5
648,36061013900,6,6
649,36061014000,6,6
650,36061014200,2,2
651,36061014401,3,3
652,36061014500,8,8
653,36061014601,4,4
654,36061014602,3,3
655,36061014700,4,4
656,36061014801,6,6
657,36061014802,7,7
658,36061014900,7,7
659,36061015001,2,2
660,36061015002,2,2
661,36061015300,5,5
662,36061015400,3,3
663,36061015500,15,15
664,36061015601,1,1
665,36061015602,3,3
666,36061015700,9,9
667,36061015801,2,2
668,36061015802,2,2
669,36061015900,1,1
670,36061016002,3,3
671,36061016100,6,6
672,36061016300,20,20
673,36061016400,1,1
674,36061016500,4,4
675,36061016600,4,4
676,36061016700,2,2
677,36061016900,3,3
678,36061017000,1,1
679,36061017200,4,4
680,36061017300,7,7
681,36061017500,1,1
682,36061017700,7,7
683,36061017800,2,2
684,36061018000,2,2
685,36061018100,7,7
686,36061018200,1,1
687,36061018300,1,1
688,36061018500,4,4
689,36061018800,2,2
690,36061018900,5,5
691,36061019000,3,3
692,36061019100,2,2
693,36061019300,3,3
694,36061019702,4,4
695,36061019900,3,3
696,36061020000,3,3
697,36061020101,2,2
698,36061020102,3,3
699,36061020300,9,9
700,36061020500,38,38
701,36061020600,1,1
702,36061020701,1,1
703,36061020800,2,2
704,36061020901,3,3
705,36061021100,3,3
706,36061021200,1,1
707,36061021600,1,1
708,36061021703,2,2
709,36061022102,1,1
710,36061022200,2,2
711,36061022301,2,2
712,36061022302,11,11
713,36061022700,7,7
714,36061022800,2,2
715,36061023100,3,3
716,36061023200,1,1
717,36061023300,3,3
718,36061023801,1,1
719,36061023900,2,2
720,36061024100,1,1
721,36061024500,3,3
722,36061024700,6,6
723,36061024900,1,1
724,36061025100,7,7
725,36061025300,2,2
726,36061025500,16,16
727,36061025700,4,4
728,36061025900,2,2
729,36061026300,2,2
730,36061026500,2,2
731,36061026900,1,1
732,36061027100,5,5
733,36061027500,10,10
734,36061027900,2,2
735,36061028500,1,1
736,36061028700,4,4
737,36061029300,3,3
738,36061029500,3,3
739,36061030300,1,1
740,36061030700,1,1
741,36061030900,2,2
742,36061031703,35,35
743,36061031704,5,5
744,36061031900,2,2
745,36081000700,12,12
746,36081001400,3,3
747,36081001800,1,1
748,36081001900,7,7
749,36081002200,5,5
750,36081003100,1,1
751,36081003300,8,8
752,36081004002,4,4
753,36081004300,1,1
754,36081005100,3,3
755,36081005500,1,1
756,36081005700,2,2
757,36081005900,6,6
758,36081006100,3,3
759,36081006201,1,1
760,36081006202,1,1
761,36081006300,6,6
762,36081006501,3,3
763,36081006502,2,2
764,36081006900,2,2
765,36081007100,2,2
766,36081007300,3,3
767,36081007500,4,4
768,36081007900,3,3
769,36081008300,2,2
770,36081008500,1,1
771,36081009600,1,1
772,36081010600,1,1
773,36081011200,1,1
774,36081011300,8,8
775,36081011500,2,2
776,36081011900,2,2
777,36081012301,1,1
778,36081013000,1,1
779,36081013200,1,1
780,36081013400,2,2
781,36081013700,2,2
782,36081014201,2,2
783,36081014202,2,2
784,36081014300,3,3
785,36081014400,1,1
786,36081014900,2,2
787,36081015200,1,1
788,36081015300,1,1
789,36081015500,7,7
790,36081015700,2,2
791,36081015900,1,1
792,36081016100,1,1
793,36081016900,1,1
794,36081017800,1,1
795,36081017900,7,7
796,36081018000,1,1
797,36081018101,2,2
798,36081018102,2,2
799,36081018300,4,4
800,36081018401,1,1
801,36081018501,1,1
802,36081018502,2,2
803,36081018900,1,1
804,36081020600,1,1
805,36081020800,1,1
806,36081021200,2,2
807,36081021400,1,1
808,36081021900,1,1
809,36081023000,2,2
810,36081023500,1,1
811,36081023800,3,3
812,36081024600,1,1
813,36081024900,2,2
814,36081025100,1,1
815,36081025301,2,2
816,36081025400,1,1
817,36081025500,2,2
818,36081025900,1,1
819,36081026100,2,2
820,36081026500,2,2
821,36081026700,1,1
822,36081026901,9,9
823,36081026902,2,2
824,36081027100,4,4
825,36081027300,2,2
826,36081027500,1,1
827,36081028100,1,1
828,36081028300,2,2
829,36081028500,2,2
830,36081028700,5,5
831,36081028800,1,1
832,36081028900,1,1
833,36081029500,2,2
834,36081031700,2,2
835,36081032800,1,1
836,36081032900,2,2
837,36081033100,6,6
838,36081033900,1,1
839,36081035100,1,1
840,36081035200,1,1
841,36081035300,1,1
842,36081035700,1,1
843,36081036700,1,1
844,36081037100,4,4
845,36081037500,1,1
846,36081037900,1,1
847,36081040700,1,1
848,36081040900,1,1
849,36081042700,1,1
850,36081043702,1,1
851,36081044302,1,1
852,36081044400,1,1
853,36081044601,1,1
854,36081044602,1,1
855,36081045500,1,1
856,36081046000,5,5
857,36081046100,1,1
858,36081046500,1,1
859,36081046600,1,1
860,36081046900,1,1
861,36081047100,2,2
862,36081047300,3,3
863,36081047500,1,1
864,36081047800,1,1
865,36081048000,1,1
866,36081048100,1,1
867,36081048300,1,1
868,36081048900,2,2
869,36081049302,3,3
870,36081049700,1,1
871,36081051000,1,1
872,36081051700,1,1
873,36081052100,1,1
874,36081053000,1,1
875,36081054200,1,1
876,36081054500,2,2
877,36081054900,2,2
878,36081055100,3,3
879,36081055300,1,1
880,36081055600,1,1
881,36081055700,2,2
882,36081055900,2,2
883,36081056400,1,1
884,36081056600,1,1
885,36081057700,2,2
886,36081058100,3,3
887,36081058300,4,4
888,36081058500,3,3
889,36081058700,4,4
890,36081060100,2,2
891,36081061800,1,1
892,36081061900,1,1
893,36081062100,1,1
894,36081062200,2,2
895,36081062500,1,1
896,36081062600,1,1
897,36081063302,1,1
898,36081063700,2,2
899,36081063800,1,1
900,36081064500,1,1
901,36081065703,1,1
902,36081066900,1,1
903,36081067100,1,1
904,36081067900,1,1
905,36081068300,8,8
906,36081068700,1,1
907,36081069300,4,4
908,36081070900,1,1
909,36081071304,1,1
910,36081071305,1,1
911,36081071600,24,24
912,36081071701,2,2
913,36081073700,5,5
914,36081073900,2,2
915,36081074300,1,1
916,36081076902,7,7
917,36081077500,3,3
918,36081077904,1,1
919,36081078800,1,1
920,36081079200,2,2
921,36081080302,1,1
922,36081081800,1,1
