,census_tract,day_of_week,Pickup_longitude,Pickup_latitude,Passenger_count,Trip_distance,Total_amount,year,ride
0,36005000200,110,-3474.875068664551,1915.416633605957,64,165.50000000000003,762.68,94658,47
1,36005000400,283,-9462.698265075684,5217.427898406982,190,386.38000000000005,1843.2900000000002,257792,128
2,36005001600,495,-98848.0305480957,54493.41324234009,1946,3944.1600000000003,19525.6,2692718,1337
3,36005001900,267,-10868.463317871094,5990.787929534912,206,472.6300000000001,2194.6899999999996,296058,147
4,36005002000,425,-24989.734382629395,13774.225036621094,513,986.0800000000005,4776.619999999997,680732,338
5,36005002300,504,-669905.8806838989,369300.96939086914,13061,27595.089999999997,132538.21,18248854,9061
6,36005002400,68,-1774.3152160644531,978.0824089050293,43,84.66,374.1,48336,24
7,36005002500,504,-416316.80642700195,229498.0989074707,8024,17494.499999999996,84168.75000000004,11340834,5631
8,36005002701,504,-202798.2619857788,111792.99083328247,3972,8430.329999999998,41616.81,5524402,2743
9,36005002702,504,-226459.93742370605,124835.719455719,4383,9835.06,46726.69000000004,6168882,3063
10,36005002800,480,-54856.90047454834,30243.641551971436,1029,2346.8199999999993,11027.450000000004,1494388,742
11,36005003100,504,-151414.1905593872,83470.9930229187,2920,6159.719999999999,29740.790000000005,4124672,2048
12,36005003300,473,-36818.59199523926,20300.153270721436,701,1532.36,7552.839999999998,1002972,498
13,36005003500,497,-77481.40993499756,42712.78824996948,1535,3161.810000000001,15360.050000000003,2110672,1048
14,36005003700,504,-103062.97609710693,56814.37156677246,2127,4393.11,20889.329999999998,2807516,1394
15,36005003800,397,-20626.88948059082,11371.631698608398,372,869.1599999999999,4092.23,561906,279
16,36005003900,504,-362715.39685821533,199956.2603111267,6910,15309.839999999995,73311.1,9880684,4906
17,36005004001,504,-121027.68632507324,66722.08264160156,2302,5040.9900000000025,24236.390000000007,3296918,1637
18,36005004100,504,-132637.63062286377,73115.78687286377,2669,5635.88,26884.539999999997,3613116,1794
19,36005004200,504,-189788.39212036133,104618.98892974854,3659,7636.809999999994,37160.71000000001,5169938,2567
20,36005004300,504,-1126590.9517822266,621068.7807312012,21739,46644.49,225099.56,30689332,15238
21,36005004400,464,-35192.79187774658,19398.40859603882,699,1441.0900000000004,6937.8099999999995,958664,476
22,36005004600,495,-86794.2378616333,47847.18923950195,1754,3788.9999999999995,17625.219999999994,2364436,1174
23,36005004800,504,-267637.1357192993,147536.63199996948,5181,10859.83,53537.35999999999,7290680,3620
24,36005005001,445,-33195.33742523193,18299.884716033936,611,1222.4199999999994,6140.169999999997,904286,449
25,36005005002,502,-160953.18473815918,88725.38291931152,3109,6819.749999999999,32651.579999999994,4384478,2177
26,36005005100,504,-1640786.7481460571,904504.6330947876,31849,68113.95000000003,327579.7500000001,44696702,22193
27,36005005200,489,-50420.68327331543,27797.959846496582,1013,2100.0099999999993,10255.01,1373548,682
28,36005005300,486,-61291.508880615234,33786.91194534302,1209,2531.290000000001,12046.029999999997,1669606,829
29,36005005400,504,-173077.69403076172,95407.60157394409,3349,7204.55,34732.32,4714774,2341
30,36005005600,433,-38371.91668701172,21154.226642608643,735,1660.2599999999995,7701.12,1045266,519
31,36005005902,504,-1183597.3494491577,652475.4231338501,22982,48660.69000000001,236344.52999999994,32242126,16009
32,36005006000,503,-145279.79178619385,80088.54370117188,2803,6020.059999999999,29076.57000000001,3957510,1965
33,36005006100,504,-486332.492729187,268098.2350997925,9259,20531.18,98964.85000000002,13248092,6578
34,36005006200,469,-49387.81271362305,27224.917095184326,932,2015.4800000000005,9573.659999999998,1345352,668
35,36005006300,504,-1639107.8015518188,903556.9419975281,31756,68017.98999999999,327802.58999999985,44650380,22170
36,36005006400,449,-33193.3586730957,18297.14516067505,650,1437.1900000000005,6967.3200000000015,904286,449
37,36005006500,504,-1495220.7681884766,824267.194190979,28854,62467.85999999999,300163.4099999999,40731136,20224
38,36005006700,504,-220543.8323059082,121571.95575714111,4279,9300.930000000004,44482.12000000003,6007762,2983
39,36005006800,484,-76298.63850402832,42061.029399871826,1438,3080.23,14837.039999999999,2078448,1032
40,36005006900,503,-196736.9478302002,108449.3749923706,3838,8277.190000000002,39409.41000000001,5359254,2661
41,36005007000,482,-74303.80618286133,40961.21785736084,1388,3101.489999999999,14885.189999999999,2024070,1005
42,36005007100,504,-351995.2196960449,194039.8116607666,6900,14132.700000000004,68877.85999999999,9588654,4761
43,36005007200,504,-1391702.385635376,767189.0019378662,27098,57222.469999999994,277195.82,37911536,18824
44,36005007300,504,-272590.5926513672,150258.44758224487,5264,11434.080000000004,54371.31000000004,7425618,3687
45,36005007400,424,-24988.299041748047,13774.610961914062,466,1050.2800000000002,4972.35,680732,338
46,36005007500,491,-105800.2904663086,58320.74494934082,2034,4562.470000000001,21772.590000000015,2882034,1431
47,36005007600,504,-147570.86833953857,81350.00341796875,2839,6106.980000000001,29101.86999999999,4019944,1996
48,36005007700,504,-199027.65936279297,109717.9154510498,3780,8166.429999999998,39658.57000000001,5421688,2692
49,36005007800,481,-53899.23963165283,29709.392810821533,1046,2382.9600000000005,11141.68,1468206,729
50,36005007900,499,-109347.3021774292,60278.190479278564,2081,4614.340000000001,21934.45999999999,2978706,1479
51,36005008300,504,-237174.73683166504,130750.0486869812,4489,9875.979999999996,47523.280000000006,6460912,3208
52,36005008400,426,-31420.271575927734,17321.324756622314,605,1370.26,6525.119999999999,855950,425
53,36005008500,504,-184390.8088912964,101644.47268295288,3537,7932.750000000007,38070.99999999999,5022916,2494
54,36005008600,497,-89754.63069915771,49477.807441711426,1735,3742.34,18022.550000000003,2444996,1214
55,36005008700,496,-83766.66384124756,46174.99779129028,1629,3445.820000000001,16473.43999999999,2281862,1133
56,36005008900,504,-153041.29587554932,84363.08734893799,2989,6096.980000000002,29536.829999999984,4168980,2070
57,36005009000,212,-6432.139533996582,3546.0622215270996,107,311.8799999999999,1376.29,175218,87
58,36005009200,504,-316805.6297302246,174642.60070419312,6170,13043.990000000002,62833.16999999999,8629990,4285
59,36005009300,375,-18631.15502166748,10270.006065368652,369,735.4200000000001,3687.31,507528,252
60,36005009600,490,-71642.07777404785,39495.0142288208,1350,2964.0600000000013,14634.98,1951566,969
61,36005009800,492,-73563.3932800293,40551.27006149292,1467,3087.4400000000023,14705.63,2003930,995
62,36005011000,335,-13455.192649841309,7417.9416847229,269,562.3199999999999,2635.81,366548,182
