,GEOID,COUNTY,LAT,LON,age_median,agg_travel_time,agg_travel_time_2011,contract_rent_25q,contract_rent_50q,contract_rent_75q,county,gross_rent_median,gross_rent_median_2011,household_income_median,household_income_median_2011,households,housing_median_value,housing_median_value_2011,housing_occupied,housing_owner_occupied,housing_renter_occupied,housing_units,housing_units_2011,housingcost_w_mort_2011,housingcost_w_mortgage,housingcost_wo_mort_2011,housingcost_wo_mortgage,male,mort_cost_%_of_income,mort_cost_%_of_income_2011,pop_over16_work,pop_over25_edu,pop_over25_edu_HS,pop_over25_edu_bach,pop_over25_edu_coll,pop_over25_edu_grad,pop_over25_edu_less_HS,population,population_2011,population_under18,poverty,poverty_2011,rs_tax_median_w_mort,tract,vacancy,white,geo_header,accommodates,bathrooms,bedrooms,beds,dailyrate,number_of_reviews,review_scores_location,review_scores_rating,airbnb_listings,mean_travel_time,airbnb_monthly_equal,airbnb_rent_mult,make_rent_median,make_rent_75q,%_occupied,airbnb_trans,%_non-whites,%_vacancy,%_poverty,airbnb_housing_density,airbnb_rental_density,cap_rate,airbnb_cap_rate,housing_affordability,%_hs_or_above,%_bach_or_above,ppl_per_household,%_male,chg_gross_rent_median,chg_household_income_median,chg_housing_units,chg_population,chg_housing_value_median,chg_mort_cost,chg_mort_cost_%_of_income,%_poverty_2011,chg_%_poverty,cap_rate_differential,id,coffee_count,green_rides,noise_count,uber_rides,bar_count,yellow_rides
0,36005000100,5,40.7934921,-73.8835318,29.3,,,,,,005,,,,,0,,,0,0,0,0,0,,,,,7654,,,0,5388,1197,85,678,48,3380,8430,10453,357,0,0,,000100,0,1184,36,,,,,,,,,,,,,,,,0,85.9549228944,,0.0,,,,,,37.2680029696,2.46844840386,inf,90.7947805457,,,0.0,-2023.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,119.0
1,36005000200,5,40.8045733,-73.8568585,36.6,,81325,884,1179,1470,005,1282,1278,74837,63449,1379,410400,422900,1379,802,577,1475,1454,2841,2978,707,752,2500,37.3,38.8,2090,3373,1124,418,917,77,837,5095,4403,1147,974,846,2835,000200,96,1606,36,,,,,,,,,,,,,,,93.4915254237,0,68.4789008832,6.50847457627,19.116781158,0.0,0.0,3.7485380117,,52.3540687262,75.1852949896,14.6753631782,3.69470630892,49.0677134446,4.0,11388.0,21.0,692.0,-12500.0,137.0,-1.5,19.2141721553,-0.0973909973506,,,0.0,47.0,170.0,7.0,0.0,36.0
2,36005000400,5,40.8089152,-73.8504884,36.5,113925,92880,1019,1296,1640,005,1491,1419,77991,75729,1819,354100,377900,1819,1312,507,1995,1738,2383,2450,722,779,2785,33.1,28.1,2526,3800,761,677,1400,402,560,5572,5017,1326,646,491,2015,000400,176,1674,36,3.0,0.944444444444,1.33333333333,1.88888888889,107.777777778,2.88888888889,9.0,86.0,9.0,45.1009501188,3287.22222222,2.20470973992,13.8340206186,15.2164948454,91.1779448622,9,69.9569274946,8.82205513784,11.5936826992,0.451127819549,1.77514792899,5.05280994069,11.1399792902,66.318877551,85.2631578947,28.3947368421,3.0632215503,49.9820531228,72.0,2262.0,257.0,555.0,-23800.0,67.0,5.0,9.78672513454,1.80695756467,6.08716934952,,0.0,128.0,244.0,55.0,2.0,53.0
3,36005001600,5,40.8188478,-73.8580764,39.9,82640,90480,559,789,1080,005,920,837,32354,33910,1912,418300,455200,1912,375,1537,2038,2056,3568,2707,640,950,2335,41.8,40.7,1923,3551,1047,357,821,155,1171,5412,5263,1235,986,732,2455,001600,126,1855,36,,,,,,,,,,42.9745189808,,,,,93.817468106,0,65.7243163341,6.18253189401,18.2187730968,0.0,0.0,2.63925412383,,24.899950745,67.0233736975,14.4184736694,2.83054393305,43.1448632668,83.0,-1556.0,-18.0,149.0,-36900.0,-861.0,1.1,13.9084172525,4.3103558443,,,0.0,1337.0,548.0,94.0,0.0,79.0
4,36005001900,5,40.800999,-73.9093729,30.6,42455,22865,713,967,1279,005,1126,1033,34635,26291,834,360000,320700,834,62,772,895,694,,2219,367,380,1315,19.4,,920,1642,455,217,448,87,435,2569,1926,608,1123,889,3167,001900,61,828,36,,,,,,,,,,46.1467391304,,,,,93.1843575419,0,67.7695601401,6.8156424581,43.7135072012,0.0,0.0,3.75333333333,,32.5174628211,73.5079171742,18.5140073082,3.08033573141,51.1872323861,93.0,8344.0,201.0,643.0,39300.0,,,46.1578400831,-2.44433288183,,,0.0,147.0,13.0,80.0,0.0,122.0
5,36005002000,5,40.8175801,-73.8660962,35.7,143320,125905,297,543,794,005,601,508,23423,24833,2980,370800,385800,2980,498,2482,3169,3136,2157,2417,690,759,3564,35.6,23.2,2886,5488,1823,568,1164,208,1725,8959,8432,2480,3763,2821,3961,002000,189,1857,36,5.33333333333,1.0,2.33333333333,5.66666666667,83.3333333333,7.66666666667,9.0,96.5,3.0,49.6604296604,2541.66666667,4.22906267332,7.212,9.528,94.0359734932,3,79.2722402054,5.96402650678,42.0024556312,0.0946670874093,0.120870265915,1.94498381877,8.22545846818,20.1894566267,68.5677842566,14.139941691,3.00637583893,39.7812255832,93.0,-1410.0,33.0,527.0,-15000.0,260.0,12.4,33.4558823529,8.54657327827,6.28047464941,,0.0,338.0,1290.0,21.0,0.0,35.0
6,36005002300,5,40.8090843,-73.9258461,31.5,,,262,398,543,005,398,376,14304,12454,1883,,,1883,17,1866,1960,2029,,,,,1943,,,1134,2865,949,87,550,20,1259,4860,5040,1459,2724,2586,,002300,77,779,36,3.63157894737,1.05263157895,1.31578947368,2.15789473684,104.105263158,16.7894736842,8.6875,94.375,19.0,,3175.21052632,7.97791589527,3.82305358948,5.21587462083,96.0714285714,19,83.9711934156,3.92857142857,56.049382716,0.969387755102,1.01822079314,,,,56.0558464223,3.73472949389,2.58098778545,39.9794238683,22.0,1850.0,-69.0,-180.0,,,,51.3095238095,4.73985890653,,2.0,2.0,9061.0,1644.0,200.0,3.0,5580.0
7,36005002400,5,40.8157533,-73.8711124,,,,,,,005,,,,,0,,,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,002400,0,0,36,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,24.0,46.0,6.0,0.0,20.0
8,36005002500,5,40.8070029,-73.9208781,28.5,,,255,526,941,005,585,476,15683,14433,1794,480800,410000,1794,33,1761,2051,2084,,2469,244,,2297,29.7,,1575,2880,783,129,526,39,1403,5143,4878,1766,2981,2476,,002500,257,1394,36,2.0,1.0,0.833333333333,1.16666666667,64.1666666667,36.8333333333,8.66666666667,94.5,6.0,,1957.08333333,3.34544159544,9.11688311688,14.6649350649,87.46952706,6,72.8951973556,12.53047294,57.9622788256,0.292540224281,0.340715502555,1.46006655574,4.88456738769,13.2332590792,51.2847222222,5.83333333333,2.86677814939,44.6626482598,109.0,1250.0,-33.0,265.0,70800.0,,,50.7585075851,7.20377124051,3.42450083195,1.0,1.0,5631.0,891.0,168.0,0.0,772.0
9,36005002701,5,40.8050514,-73.9163293,26.7,,,317,620,806,005,630,581,20159,24389,1086,,,1086,0,1086,1117,1106,,,,,1483,,,1035,1642,466,47,276,53,800,3172,3128,1090,1772,1399,,002701,31,701,36,5.33333333333,1.33333333333,2.0,4.33333333333,78.0,9.0,9.0,89.6666666667,3.0,,2379.0,3.77619047619,8.07692307692,10.3333333333,97.2247090421,3,77.9003783102,2.77529095792,55.8638083228,0.268576544315,0.276243093923,,,,51.2789281364,6.09013398295,2.92081031308,46.7528373266,49.0,-4230.0,11.0,44.0,,,,44.7250639386,11.1387443842,,,0.0,2743.0,1105.0,74.0,1.0,560.0
10,36005002702,5,40.8064374,-73.913737,26.2,67525,62700,399,796,1291,005,977,704,18416,19542,1333,,1000001,1333,30,1303,1423,1490,,,,,2312,,50,1492,2364,478,89,561,0,1236,4683,4674,1407,2446,2089,,002702,90,1012,36,,,,,,,,,,45.2580428954,,,,,93.6753338018,0,78.3899209908,6.32466619817,52.2314755499,0.0,0.0,,,,47.7157360406,3.76480541455,3.51312828207,49.3700619261,273.0,-1126.0,-67.0,9.0,,,,44.6940522037,7.53742334618,,1.0,1.0,3063.0,560.0,105.0,0.0,421.0
11,36005002800,5,40.8225183,-73.8782336,42,,123385,811,893,1104,005,951,903,50388,47363,2336,258800,285700,2336,308,2028,2418,2427,2612,1212,945,918,2400,21.5,23.6,2490,4257,1392,660,1389,188,628,5746,6056,1081,491,722,7772,002800,82,189,36,1.0,1.0,1.0,1.0,29.0,23.0,9.0,95.0,1.0,,884.5,0.93007360673,32.7931034483,38.0689655172,96.6087675765,1,96.710755308,3.39123242349,8.54507483467,0.0413564929694,0.0493096646943,4.40958268934,4.10123647604,86.6130363036,85.2478271083,19.920131548,2.45976027397,41.7681865646,48.0,3025.0,-9.0,-310.0,-26900.0,-1400.0,-2.1,11.9220607662,-3.37698593151,-0.308346213292,,0.0,742.0,310.0,13.0,0.0,109.0
12,36005003100,5,40.8098763,-73.9056946,34.4,,,747,908,1129,005,1014,944,39962,37167,509,30000,90000,509,124,385,545,542,791,895,,275,732,27.5,28.3,666,897,188,83,303,0,323,1538,1243,514,280,301,,003100,36,438,36,4.0,1.0,2.0,2.0,117.0,11.5,8.5,91.0,2.0,,3568.5,3.51923076923,8.66666666667,9.64957264957,93.3944954128,2,71.5214564369,6.60550458716,18.2054616385,0.366972477064,0.519480519481,40.56,142.74,93.02141527,63.9910813824,9.2530657748,3.02161100196,47.5942782835,70.0,2795.0,3.0,295.0,-60000.0,104.0,-0.8,24.2156074014,-6.01014576296,102.18,,0.0,2048.0,274.0,23.0,0.0,205.0
