,census_tract,count
0,36005000200.0,170
1,36005000400.0,244
2,36005001600.0,548
3,36005001900.0,13
4,36005002000.0,1290
5,36005002300.0,1644
6,36005002400.0,46
7,36005002500.0,891
8,36005002701.0,1105
9,36005002702.0,560
10,36005002800.0,310
11,36005003100.0,274
12,36005003300.0,241
13,36005003500.0,512
14,36005003700.0,88
15,36005003800.0,651
16,36005003900.0,591
17,36005004001.0,535
18,36005004100.0,511
19,36005004200.0,545
20,36005004300.0,1324
21,36005004400.0,303
22,36005004600.0,747
23,36005004800.0,2001
24,36005005001.0,1343
25,36005005002.0,579
26,36005005100.0,554
27,36005005200.0,486
28,36005005300.0,550
29,36005005400.0,720
30,36005005600.0,383
31,36005005902.0,1094
32,36005006000.0,497
33,36005006100.0,297
34,36005006200.0,1456
35,36005006300.0,757
36,36005006400.0,552
37,36005006500.0,1433
38,36005006700.0,1299
39,36005006800.0,553
40,36005006900.0,1180
41,36005007000.0,1314
42,36005007100.0,2051
43,36005007200.0,650
44,36005007300.0,1496
45,36005007400.0,447
46,36005007500.0,792
47,36005007600.0,607
48,36005007700.0,560
49,36005007800.0,677
50,36005007900.0,896
51,36005008300.0,693
52,36005008400.0,389
53,36005008500.0,854
54,36005008600.0,1308
55,36005008700.0,649
56,36005008900.0,489
57,36005009000.0,90
58,36005009200.0,981
59,36005009300.0,619
60,36005009600.0,291
61,36005009800.0,764
62,36005011000.0,238
63,36005011502.0,2475
64,36005011800.0,12
65,36005011900.0,1197
66,36005012101.0,662
67,36005012102.0,498
68,36005012300.0,336
69,36005012500.0,942
70,36005012701.0,258
71,36005012901.0,732
72,36005013000.0,529
73,36005013100.0,482
74,36005013200.0,846
75,36005013300.0,791
76,36005013500.0,1201
77,36005013800.0,11
78,36005014100.0,788
79,36005014300.0,143
80,36005014400.0,1054
81,36005014500.0,1422
82,36005014701.0,768
83,36005014702.0,471
84,36005014900.0,660
85,36005015100.0,1100
86,36005015200.0,331
87,36005015300.0,608
88,36005015500.0,493
89,36005015700.0,754
90,36005015800.0,277
91,36005015900.0,1027
92,36005016000.0,127
93,36005016100.0,787
94,36005016200.0,177
95,36005016300.0,8
96,36005016400.0,171
97,36005016500.0,108
98,36005016600.0,253
99,36005016700.0,102
100,36005016900.0,192
101,36005017100.0,401
102,36005017300.0,780
103,36005017500.0,1616
104,36005017701.0,1073
105,36005017702.0,1448
106,36005017901.0,2355
107,36005017902.0,814
108,36005018101.0,933
109,36005018102.0,1734
110,36005018301.0,1478
111,36005018302.0,686
112,36005018400.0,234
113,36005018500.0,1551
114,36005018900.0,2854
115,36005019300.0,994
116,36005019400.0,132
117,36005019500.0,1816
118,36005019700.0,1798
119,36005019900.0,2179
120,36005020000.0,280
121,36005020100.0,736
122,36005020200.0,684
123,36005020400.0,379
124,36005020501.0,2374
125,36005020502.0,258
126,36005020601.0,367
127,36005020900.0,680
128,36005021001.0,307
129,36005021002.0,321
130,36005021100.0,1007
131,36005021200.0,239
132,36005021301.0,520
133,36005021302.0,624
134,36005021501.0,1036
135,36005021502.0,781
136,36005021601.0,2715
137,36005021602.0,1586
138,36005021700.0,2121
139,36005021800.0,897
140,36005021900.0,425
141,36005022000.0,300
142,36005022101.0,1018
143,36005022102.0,1240
144,36005022200.0,549
145,36005022300.0,1045
146,36005022401.0,766
147,36005022403.0,3403
148,36005022404.0,1200
149,36005022500.0,1431
150,36005022701.0,904
151,36005022702.0,607
152,36005022703.0,783
153,36005022800.0,953
154,36005022901.0,1820
155,36005022902.0,552
156,36005023000.0,950
157,36005023100.0,331
158,36005023200.0,474
159,36005023301.0,939
160,36005023302.0,1389
161,36005023501.0,1397
162,36005023502.0,752
163,36005023600.0,538
164,36005023702.0,544
165,36005023703.0,1238
166,36005023704.0,2873
167,36005023800.0,157
168,36005023900.0,1281
169,36005024000.0,1331
170,36005024100.0,604
171,36005024300.0,886
172,36005024400.0,252
173,36005024501.0,908
174,36005024502.0,683
175,36005024600.0,172
176,36005024700.0,165
177,36005024800.0,442
178,36005024900.0,141
179,36005025000.0,179
180,36005025100.0,1221
181,36005025200.0,95
182,36005025300.0,3104
183,36005025400.0,246
184,36005025500.0,1488
185,36005025600.0,200
186,36005025700.0,332
187,36005026100.0,782
188,36005026300.0,2154
189,36005026400.0,600
190,36005026500.0,1472
191,36005026601.0,260
192,36005026602.0,661
193,36005026701.0,1526
194,36005026702.0,1579
195,36005026900.0,175
196,36005027300.0,2009
197,36005027401.0,249
198,36005027402.0,81
199,36005027600.0,106
200,36005027700.0,965
201,36005027900.0,1552
202,36005028100.0,418
203,36005028300.0,52
204,36005028400.0,12
205,36005028500.0,1483
206,36005028600.0,111
207,36005028700.0,670
208,36005028800.0,516
209,36005028900.0,907
210,36005029301.0,13
211,36005029302.0,187
212,36005029500.0,598
213,36005029600.0,569
214,36005029700.0,560
215,36005030000.0,660
216,36005030100.0,158
217,36005030200.0,126
218,36005030701.0,136
219,36005030900.0,2
220,36005031000.0,136
221,36005031200.0,67
222,36005031400.0,125
223,36005031600.0,184
224,36005031800.0,117
225,36005031900.0,2
226,36005032300.0,220
227,36005032400.0,1856
228,36005032600.0,186
229,36005032800.0,711
230,36005033000.0,712
231,36005033201.0,1173
232,36005033202.0,591
233,36005033400.0,3
234,36005033500.0,8
235,36005033600.0,1864
236,36005033700.0,68
237,36005033800.0,1201
