,GEOID,STATE,COUNTY,TRACT,LAT,LON
88,36005000100,36,005,00100,40.7934921,-73.8835318
89,36005000200,36,005,00200,40.8045733,-73.8568585
90,36005000400,36,005,00400,40.8089152,-73.8504884
91,36005001600,36,005,01600,40.8188478,-73.8580764
92,36005001900,36,005,01900,40.800999,-73.9093729
93,36005002000,36,005,02000,40.8175801,-73.8660962
94,36005002300,36,005,02300,40.8090843,-73.9258461
95,36005002400,36,005,02400,40.8157533,-73.8711124
96,36005002500,36,005,02500,40.8070029,-73.9208781
97,36005002701,36,005,02701,40.8050514,-73.9163293
98,36005002702,36,005,02702,40.8064374,-73.913737
99,36005002800,36,005,02800,40.8225183,-73.8782336
100,36005003100,36,005,03100,40.8098763,-73.9056946
101,36005003300,36,005,03300,40.8082226,-73.9119246
102,36005003500,36,005,03500,40.8109651,-73.9086696
103,36005003700,36,005,03700,40.8114424,-73.912187
104,36005003800,36,005,03800,40.8202946,-73.8633435
105,36005003900,36,005,03900,40.8097217,-73.9214264
106,36005004001,36,005,04001,40.8282719,-73.8583355
107,36005004100,36,005,04100,40.8113856,-73.9194099
108,36005004200,36,005,04200,40.8239307,-73.8620059
109,36005004300,36,005,04300,40.8136213,-73.9170376
110,36005004400,36,005,04400,40.8265305,-73.8663677
111,36005004600,36,005,04600,40.8224207,-73.8691745
112,36005004800,36,005,04800,40.8270043,-73.8743239
113,36005005001,36,005,05001,40.824997,-73.8778533
114,36005005002,36,005,05002,40.8273629,-73.878435
115,36005005100,36,005,05100,40.813308,-73.9273822
116,36005005200,36,005,05200,40.8256416,-73.8824356
117,36005005300,36,005,05300,40.851772,-73.9221829
118,36005005400,36,005,05400,40.8298875,-73.8797806
119,36005005600,36,005,05600,40.8326118,-73.8790757
120,36005005902,36,005,05902,40.824086,-73.9234467
121,36005006000,36,005,06000,40.8377032,-73.8780437
122,36005006100,36,005,06100,40.8222516,-73.9226669
123,36005006200,36,005,06200,40.8332811,-73.8754495
124,36005006300,36,005,06300,40.8242061,-73.9287302
125,36005006400,36,005,06400,40.8329646,-73.8721701
126,36005006500,36,005,06500,40.8173917,-73.9216557
127,36005006700,36,005,06700,40.8195023,-73.9181767
128,36005006800,36,005,06800,40.8289603,-73.8705138
129,36005006900,36,005,06900,40.8218666,-73.9157567
130,36005007000,36,005,07000,40.8298152,-73.8656233
131,36005007100,36,005,07100,40.8182206,-73.912832
