,GEOID,accommodates,bathrooms,bedrooms,beds,dailyrate,number_of_reviews,review_scores_location,review_scores_rating,airbnb_listings
0,36005000400,3.0,0.944444444444,1.33333333333,1.88888888889,107.777777778,2.88888888889,9.0,86.0,9.0
1,36005002000,5.33333333333,1.0,2.33333333333,5.66666666667,83.3333333333,7.66666666667,9.0,96.5,3.0
2,36005002300,3.63157894737,1.05263157895,1.31578947368,2.15789473684,104.105263158,16.7894736842,8.6875,94.375,19.0
3,36005002500,2.0,1.0,0.833333333333,1.16666666667,64.1666666667,36.8333333333,8.66666666667,94.5,6.0
4,36005002701,5.33333333333,1.33333333333,2.0,4.33333333333,78.0,9.0,9.0,89.6666666667,3.0
5,36005002800,1.0,1.0,1.0,1.0,29.0,23.0,9.0,95.0,1.0
6,36005003100,4.0,1.0,2.0,2.0,117.0,11.5,8.5,91.0,2.0
7,36005003500,2.6,1.0,1.0,1.2,48.2,20.8,8.0,84.6,5.0
8,36005003700,1.0,1.0,1.0,1.0,35.0,0.0,,,1.0
9,36005003800,2.0,1.0,1.0,2.0,82.0,11.0,8.0,93.0,1.0
10,36005003900,2.25,1.125,1.0,2.25,65.0,6.0,8.5,94.5,4.0
11,36005004001,8.0,2.0,1.0,2.0,60.0,11.0,9.0,100.0,1.0
12,36005004100,2.0,1.0,1.0,1.0,81.25,8.5,9.33333333333,99.6666666667,4.0
13,36005004200,1.0,1.0,1.0,1.0,45.0,2.0,10.0,100.0,1.0
14,36005004300,2.4,1.0,1.2,1.4,59.0,4.0,7.0,85.6666666667,5.0
15,36005005100,2.33333333333,1.16666666667,0.333333333333,1.0,105.0,6.66666666667,9.0,81.0,3.0
16,36005005200,2.0,1.0,1.0,2.0,110.0,1.0,8.0,100.0,1.0
17,36005005400,2.0,1.0,1.0,1.0,41.0,0.0,,,1.0
18,36005005600,1.0,1.0,1.0,1.0,45.0,1.0,6.0,80.0,1.0
19,36005005902,3.0,1.1875,1.25,1.375,106.25,4.625,8.6,88.4,8.0
20,36005006300,2.65,1.05,0.9,1.35,91.3,5.4,8.92857142857,89.4285714286,20.0
21,36005006400,4.4,1.4,1.0,2.8,52.0,34.6,8.2,91.4,5.0
22,36005006700,4.0,1.0,1.0,2.0,105.0,5.5,9.0,96.0,2.0
23,36005006900,2.0,1.0,1.0,1.0,65.0,10.0,8.0,83.0,1.0
24,36005007300,4.33333333333,1.0,2.0,2.0,124.666666667,12.6666666667,9.0,97.0,3.0
25,36005007500,3.25,1.375,1.0,2.0,63.75,14.625,8.57142857143,87.0,8.0
26,36005007700,3.0,1.5,1.0,3.0,99.0,0.0,,,1.0
27,36005008500,3.0,1.0,1.33333333333,1.33333333333,71.3333333333,13.6666666667,9.0,94.0,3.0
28,36005008700,4.0,1.0,1.0,2.0,109.0,11.0,9.0,98.0,1.0
29,36005009300,3.0,1.0,1.0,1.0,50.0,6.0,7.0,90.0,1.0
30,36005011502,3.5,1.0,1.0,1.0,55.0,4.5,8.0,90.0,2.0
31,36005011800,2.0,1.0,1.0,1.0,150.0,2.0,10.0,100.0,1.0
32,36005011900,2.0,1.0,1.0,1.0,50.0,0.0,,,1.0
33,36005012101,6.0,1.5,2.0,3.0,119.0,8.0,9.0,95.0,1.0
34,36005012102,2.0,1.0,1.0,1.0,49.0,0.0,,,1.0
35,36005012500,4.0,1.33333333333,1.33333333333,2.33333333333,80.3333333333,9.33333333333,8.0,86.0,3.0
36,36005013100,1.5,1.0,1.0,1.0,40.0,2.5,8.0,68.0,2.0
37,36005013300,6.0,1.16666666667,2.0,2.66666666667,159.666666667,24.6666666667,7.5,92.0,3.0
38,36005013500,2.5,1.25,1.0,1.0,365.0,9.0,7.0,82.0,2.0
39,36005014100,4.0,1.0,1.0,1.5,162.0,13.5,9.0,96.0,2.0
40,36005014701,1.0,1.0,1.0,1.0,90.0,2.0,6.0,60.0,1.0
41,36005014900,1.5,1.0,1.0,1.0,47.5,0.5,8.0,80.0,2.0
42,36005015100,2.25,1.375,1.0,1.0,55.0,8.25,7.33333333333,65.6666666667,4.0
43,36005015700,2.0,1.0,1.0,1.0,45.0,0.0,,,1.0
44,36005015800,2.0,1.0,1.0,1.0,79.0,12.0,9.0,90.0,1.0
45,36005016200,4.0,1.0,1.0,2.0,79.0,3.0,10.0,100.0,1.0
46,36005016700,4.0,1.0,1.0,1.0,130.0,0.0,,,1.0
47,36005017300,4.0,1.0,1.0,3.0,70.0,16.5,9.0,93.0,2.0
48,36005017500,2.0,1.0,1.0,1.0,70.0,0.0,,,1.0
49,36005017701,10.0,1.0,5.0,6.0,138.0,0.0,,,1.0
50,36005017702,4.66666666667,1.16666666667,1.66666666667,2.66666666667,84.6666666667,25.0,8.0,93.0,3.0
51,36005017901,1.75,1.125,1.0,1.0,62.0,4.5,8.25,89.5,4.0
52,36005017902,2.0,1.5,1.0,1.0,35.0,7.0,9.0,97.0,1.0
53,36005018101,1.5,1.0,1.0,1.0,82.0,3.5,9.0,94.0,2.0
54,36005018102,2.0,1.0,0.857142857143,1.0,84.5714285714,15.0,8.8,92.6,7.0
55,36005018301,3.0,1.1,1.0,1.6,86.8,27.4,9.0,85.0,5.0
56,36005018400,6.0,1.0,1.0,3.0,69.0,10.0,9.0,80.0,1.0
57,36005018500,2.0,1.0,1.0,1.0,198.0,0.0,,,1.0
58,36005018900,2.33333333333,1.16666666667,0.833333333333,1.16666666667,58.1666666667,27.8333333333,8.2,94.2,6.0
59,36005019300,1.0,1.0,1.0,1.0,39.0,0.0,,,1.0
60,36005019400,3.0,1.0,0.0,1.0,70.0,0.0,,,1.0
61,36005019500,2.9,1.1,0.9,1.5,94.8,28.8,9.14285714286,96.1428571429,10.0
62,36005019700,2.0,1.0,1.0,1.0,85.0,5.0,8.0,88.0,1.0
63,36005019900,2.0,1.0,1.0,1.0,69.0,25.0,8.0,93.0,1.0
64,36005020900,2.0,1.0,1.0,1.0,43.0,11.0,7.0,89.0,1.0
65,36005021001,3.71428571429,1.0,1.0,2.0,54.1428571429,6.0,8.75,80.6,7.0
66,36005021002,2.5,1.0,1.0,1.0,101.0,8.0,9.0,93.0,2.0
