,census_tract,rides_yellow,rides_uber,rides_green,share_uber,total_rides,share_yellow
0,100,41318,11372.0,33030.0,0.3853243117125525,85720.0,0.4820111992533831
1,200,498,618.0,664.0,0.37303370786516854,1780.0,0.2797752808988764
2,201,5306,2889.0,4.0,0.00048786437370411026,8199.0,0.6471520917185023
3,202,1009,191.0,19.0,0.015586546349466776,1219.0,0.8277276456111566
4,300,56,10.0,1466.0,0.9569190600522193,1532.0,0.03655352480417755
5,301,2383,2647.0,3348.0,0.39961804726665073,8378.0,0.28443542611601813
6,400,117,116.0,308.0,0.5693160813308688,541.0,0.21626617375231053
7,500,229,,,,,
8,501,14136,3150.0,11408.0,0.3975744057991218,28694.0,0.49264654631630306
9,502,41894,3160.0,27071.0,0.3753344887348354,72125.0,0.5808526863084922
10,600,2028,529.0,101.0,0.03799849510910459,2658.0,0.7629796839729119
11,700,379427,34862.0,58822.0,0.12433023117196598,473111.0,0.801983044148202
12,800,12568,1858.0,103.0,0.00708926973638929,14529.0,0.8650285635625301
13,801,14,,,,,
14,802,7,6.0,6.0,0.3157894736842105,19.0,0.3684210526315789
15,900,324559,24951.0,80940.0,0.18803577651295156,430450.0,0.7539993030549424
16,1000,78,36.0,244.0,0.6815642458100558,358.0,0.21787709497206703
17,1001,6026,809.0,372.0,0.05161648397391425,7207.0,0.83613153878174
18,1002,2268,390.0,36.0,0.013363028953229399,2694.0,0.8418708240534521
19,1100,40727,4919.0,69501.0,0.6035849826743207,115147.0,0.35369571070023537
20,1200,14346,1751.0,298.0,0.018176273254040864,16395.0,0.8750228728270815
21,1300,593581,43945.0,9570.0,0.014789150296092079,647096.0,0.9172997515051863
22,1400,101,104.0,491.0,0.7054597701149425,696.0,0.14511494252873564
23,1401,48240,6876.0,18.0,0.000326477309826967,55134.0,0.8749591903362717
24,1402,126546,5126.0,36.0,0.00027333191605673153,131708.0,0.9608072402587542
25,1500,51400,4132.0,19602.0,0.260893869619613,75134.0,0.6841110549152182
26,1501,172129,10988.0,12.0,6.552757891977786e-05,183129.0,0.9399330526568703
27,1502,51526,2583.0,,,,
28,1600,133716,10445.0,1452.0,0.009971637147782136,145613.0,0.9182971300639367
29,1700,36,70.0,53.0,0.3333333333333333,159.0,0.22641509433962265
30,1800,370364,18893.0,387.0,0.0009932143187114393,389644.0,0.9505189352331872
31,1900,35081,6669.0,31103.0,0.4269281978779185,72853.0,0.48153130276035305
32,2000,7666,875.0,694.0,0.07514889009204115,9235.0,0.8301028695181375
33,2001,28,3.0,,,,
34,2002,52,26.0,,,,
35,2100,813890,73640.0,93370.0,0.09518809256804975,980900.0,0.8297379957182179
36,2200,600,718.0,1016.0,0.43530419880034277,2334.0,0.2570694087403599
37,2201,5489,3894.0,,,,
38,2202,121715,7217.0,,,,
39,2300,13120,3366.0,17524.0,0.5152602175830638,34010.0,0.38576889150249927
40,2400,1058,197.0,151.0,0.1073968705547653,1406.0,0.7524893314366998
41,2500,28697,1460.0,23569.0,0.4386889029520158,53726.0,0.5341361724304806
