,census_tract,rides
0,36005000200,7
1,36005000400,55
2,36005001600,94
3,36005001900,80
4,36005002000,21
5,36005002300,200
6,36005002400,6
7,36005002500,168
8,36005002701,74
9,36005002702,105
10,36005002800,13
11,36005003100,23
12,36005003300,59
13,36005003500,35
14,36005003700,4
15,36005003800,14
16,36005003900,42
17,36005004001,27
18,36005004100,65
19,36005004200,32
20,36005004300,54
21,36005004400,9
22,36005004600,42
23,36005004800,1
24,36005005002,24
25,36005005100,325
26,36005005200,82
27,36005005300,36
28,36005005400,20
29,36005005600,6
30,36005005902,831
31,36005006000,39
32,36005006100,55
33,36005006200,12
34,36005006300,585
35,36005006400,6
36,36005006500,130
37,36005006700,32
38,36005006800,4
39,36005006900,18
40,36005007000,32
41,36005007100,51
42,36005007200,45
43,36005007300,32
44,36005007400,12
45,36005007500,38
46,36005007600,15
47,36005007700,56
48,36005007800,2
49,36005007900,36
50,36005008300,4
51,36005008400,20
52,36005008500,48
53,36005008600,13
54,36005008700,21
55,36005008900,190
56,36005009000,9
57,36005009200,7
58,36005009300,55
59,36005009600,77
60,36005009800,27
61,36005011000,22
62,36005011502,61
63,36005011700,55
64,36005011800,29
65,36005011900,15
66,36005012101,115
67,36005012102,6
68,36005012300,13
69,36005012500,72
70,36005012701,49
71,36005012901,37
72,36005013000,30
73,36005013100,17
74,36005013200,78
75,36005013300,21
76,36005013500,57
77,36005014100,97
78,36005014300,23
79,36005014400,29
80,36005014500,32
81,36005014701,14
82,36005014702,51
83,36005014900,39
84,36005015100,57
85,36005015200,1
86,36005015300,28
87,36005015500,30
88,36005015700,32
89,36005015800,22
90,36005015900,37
91,36005016000,37
92,36005016100,48
93,36005016200,29
94,36005016300,1
95,36005016400,36
96,36005016500,22
97,36005016600,12
98,36005016700,17
99,36005016900,7
100,36005017300,102
101,36005017500,17
102,36005017701,4
103,36005017702,60
104,36005017901,77
105,36005017902,56
106,36005018101,7
107,36005018102,80
108,36005018301,327
109,36005018302,37
110,36005018400,30
111,36005018500,18
112,36005018900,1603
113,36005019300,21
114,36005019400,33
115,36005019500,676
116,36005019700,35
117,36005019900,64
118,36005020000,86
119,36005020100,13
120,36005020200,45
121,36005020400,30
122,36005020501,37
123,36005020502,5
124,36005020601,13
125,36005020900,25
126,36005021001,62
127,36005021002,30
128,36005021100,69
129,36005021200,8
130,36005021301,54
131,36005021302,75
132,36005021501,7
133,36005021502,15
134,36005021601,46
135,36005021602,50
136,36005021700,37
137,36005021800,9
138,36005021900,17
139,36005022000,35
140,36005022101,6
141,36005022102,6
142,36005022200,18
143,36005022300,52
144,36005022401,181
145,36005022403,32
146,36005022404,23
147,36005022500,22
148,36005022701,30
149,36005022702,7
150,36005022703,23
151,36005022800,32
152,36005022901,12
153,36005022902,41
154,36005023000,9
155,36005023100,22
156,36005023200,65
157,36005023301,13
158,36005023302,67
159,36005023501,13
160,36005023502,30
161,36005023600,12
162,36005023702,74
163,36005023703,36
164,36005023704,48
165,36005023900,48
166,36005024000,6
167,36005024100,8
168,36005024300,61
169,36005024400,32
170,36005024501,12
171,36005024502,57
172,36005024600,11
173,36005024700,31
174,36005024800,48
175,36005024900,7
176,36005025000,55
177,36005025100,52
178,36005025200,16
179,36005025300,12
180,36005025400,24
181,36005025500,42
182,36005025600,1
183,36005025700,44
184,36005026100,83
185,36005026300,30
186,36005026400,140
187,36005026500,65
188,36005026601,50
189,36005026602,80
190,36005026701,43
191,36005026702,32
192,36005026900,57
193,36005027300,113
194,36005027401,49
195,36005027402,5
196,36005027600,3
197,36005027700,50
198,36005027900,121
199,36005028100,207
200,36005028300,15
201,36005028400,55
202,36005028500,496
203,36005028600,189
204,36005028700,47
205,36005028800,68
206,36005028900,157
207,36005029301,265
208,36005029302,155
209,36005029500,421
210,36005029600,226
211,36005029700,392
212,36005030000,52
213,36005030100,78
214,36005030200,97
215,36005030701,211
216,36005030900,131
217,36005031000,21
218,36005031200,29
219,36005031400,5
220,36005031600,52
221,36005031800,6
222,36005031900,1457
223,36005032300,97
224,36005032400,21
225,36005032600,6
226,36005032800,80
227,36005033000,111
228,36005033201,42
229,36005033202,43
230,36005033400,45
231,36005033500,676
232,36005033600,34
233,36005033700,79
234,36005033800,19
235,36005034000,18
236,36005034200,18
237,36005034300,324
238,36005034400,19
239,36005034500,179
240,36005034800,6
241,36005035000,12
242,36005035100,1759
243,36005035600,27
244,36005035800,43
245,36005035900,6
246,36005036000,7
247,36005036100,112
248,36005036300,28
249,36005036400,157
250,36005036501,7
251,36005036502,26
252,36005036700,3
253,36005036800,27
254,36005036901,30
255,36005036902,22
256,36005037000,10
257,36005037100,6
258,36005037200,12
259,36005037300,12
260,36005037400,23
261,36005037504,61
262,36005037600,17
263,36005037800,12
264,36005037900,18
265,36005038000,31
266,36005038100,7
267,36005038200,6
268,36005038301,26
269,36005038302,28
270,36005038500,38
271,36005038600,15
272,36005038700,310
273,36005038800,15
274,36005038900,391
275,36005039000,6
276,36005039100,457
277,36005039200,13
278,36005039300,109
279,36005039500,14
