,census_tract,count
0,36005000400.0,2
1,36005002300.0,3
2,36005002701.0,1
3,36005004300.0,1
4,36005005100.0,1
5,36005005902.0,1
6,36005006100.0,1
7,36005006300.0,6
8,36005006500.0,1
9,36005007000.0,1
10,36005007200.0,1
11,36005007600.0,1
12,36005008300.0,1
13,36005009200.0,2
14,36005011800.0,1
15,36005013000.0,2
16,36005015200.0,1
17,36005015800.0,1
18,36005016200.0,4
19,36005016400.0,1
20,36005016600.0,1
21,36005017100.0,1
22,36005018400.0,2
23,36005018900.0,1
24,36005019400.0,1
25,36005019500.0,8
26,36005020000.0,2
27,36005020501.0,1
28,36005020900.0,4
29,36005021602.0,1
30,36005021700.0,1
31,36005021900.0,1
32,36005022200.0,2
33,36005023000.0,3
34,36005023100.0,1
35,36005023900.0,1
36,36005024400.0,2
37,36005025200.0,1
38,36005025500.0,3
39,36005026601.0,1
40,36005026602.0,3
41,36005027700.0,1
42,36005027900.0,2
43,36005028300.0,8
44,36005028400.0,1
45,36005028500.0,4
46,36005028600.0,1
47,36005029500.0,4
48,36005029600.0,2
49,36005030000.0,1
50,36005030200.0,1
51,36005033700.0,1
52,36005034200.0,1
53,36005034500.0,1
54,36005035100.0,1
55,36005035600.0,1
56,36005036000.0,1
57,36005036400.0,1
58,36005037900.0,1
59,36005038700.0,1
60,36005038900.0,4
61,36005039100.0,2
62,36005039500.0,1
63,36005040304.0,1
64,36005040701.0,4
65,36005041500.0,3
66,36005041800.0,1
67,36005042500.0,2
68,36005044800.0,1
69,36005044901.0,2
70,36005044902.0,8
71,36005045102.0,4
72,36005045600.0,3
73,36005046000.0,2
74,36005050400.0,11
75,36005051600.0,4
76,36047000100.0,9
77,36047000200.0,1
78,36047000501.0,1
79,36047000502.0,2
80,36047000700.0,9
81,36047000900.0,2
82,36047001100.0,4
83,36047001500.0,2
84,36047002000.0,1
85,36047002100.0,4
86,36047003300.0,3
87,36047003500.0,7
88,36047003700.0,5
89,36047003900.0,3
90,36047004100.0,4
91,36047004300.0,5
92,36047004500.0,7
93,36047004700.0,1
94,36047005100.0,3
95,36047005300.0,2
96,36047005800.0,7
97,36047005900.0,5
98,36047006000.0,2
99,36047006200.0,1
100,36047006300.0,1
101,36047006400.0,7
102,36047006500.0,8
103,36047006600.0,5
104,36047006700.0,3
105,36047006800.0,8
106,36047006900.0,9
107,36047007100.0,2
108,36047007400.0,1
109,36047007500.0,10
110,36047008000.0,1
111,36047008200.0,1
112,36047008400.0,1
113,36047008500.0,1
114,36047008800.0,1
115,36047009000.0,1
116,36047009400.0,2
117,36047009600.0,1
118,36047010100.0,2
119,36047010400.0,1
120,36047011700.0,2
121,36047011800.0,4
122,36047011900.0,5
123,36047012100.0,3
124,36047012200.0,1
125,36047012600.0,1
126,36047012700.0,5
127,36047012901.0,10
128,36047012902.0,6
129,36047013000.0,5
130,36047013100.0,5
131,36047013200.0,2
132,36047013300.0,6
133,36047013400.0,2
134,36047013500.0,4
135,36047013600.0,4
136,36047013700.0,4
137,36047013800.0,3
138,36047013900.0,7
139,36047014100.0,6
140,36047014300.0,4
141,36047014500.0,4
142,36047014700.0,3
143,36047014900.0,4
144,36047015100.0,3
145,36047015300.0,1
146,36047015500.0,1
147,36047015700.0,1
148,36047015900.0,3
149,36047016000.0,3
150,36047016100.0,5
151,36047016200.0,1
152,36047016300.0,7
153,36047016700.0,2
154,36047016900.0,4
155,36047017000.0,1
156,36047017600.0,1
157,36047017900.0,1
158,36047018100.0,5
159,36047018300.0,4
160,36047018700.0,5
161,36047019100.0,3
162,36047019300.0,2
163,36047019500.0,3
164,36047019700.0,1
165,36047019900.0,5
166,36047020000.0,1
167,36047020100.0,5
168,36047020300.0,7
169,36047020500.0,3
170,36047020700.0,2
171,36047021200.0,1
172,36047021300.0,2
173,36047021400.0,1
174,36047021500.0,6
175,36047021700.0,5
176,36047021900.0,2
177,36047022100.0,5
178,36047022700.0,6
179,36047022900.0,1
180,36047023100.0,3
181,36047023300.0,6
182,36047023500.0,4
183,36047024100.0,6
184,36047024300.0,2
185,36047024500.0,1
186,36047024900.0,1
187,36047025000.0,1
188,36047025100.0,1
189,36047026200.0,1
190,36047026700.0,2
191,36047026900.0,2
192,36047027100.0,1
193,36047027200.0,1
194,36047027300.0,2
195,36047027500.0,2
196,36047027700.0,1
197,36047028200.0,1
198,36047028700.0,2
199,36047029500.0,2
200,36047029700.0,1
201,36047030400.0,1
202,36047030500.0,4
203,36047031100.0,1
204,36047031500.0,2
205,36047031701.0,2
206,36047031702.0,2
207,36047032100.0,1
208,36047032500.0,2
209,36047032700.0,1
210,36047032800.0,1
211,36047033700.0,1
212,36047033900.0,1
213,36047034500.0,1
214,36047035000.0,6
215,36047035200.0,4
216,36047035602.0,1
217,36047036001.0,1
218,36047036002.0,2
219,36047036700.0,1
220,36047036900.0,1
221,36047038500.0,1
222,36047038700.0,2
223,36047038800.0,1
224,36047038900.0,1
225,36047039300.0,6
226,36047039500.0,3
227,36047039600.0,1
228,36047039800.0,1
229,36047039900.0,1
230,36047040000.0,2
231,36047040100.0,1
232,36047040300.0,2
233,36047040400.0,1
234,36047041100.0,1
235,36047041700.0,2
236,36047042000.0,1
237,36047042100.0,1
238,36047042300.0,7
239,36047042400.0,1
240,36047042500.0,10
241,36047042700.0,5
242,36047042800.0,1
243,36047042900.0,4
244,36047043300.0,4
245,36047043900.0,1
246,36047044100.0,6
247,36047044300.0,4
248,36047044500.0,3
249,36047044700.0,15
250,36047045300.0,7
251,36047046202.0,2
252,36047047700.0,1
253,36047048100.0,3
254,36047048500.0,7
255,36047049100.0,1
256,36047049200.0,3
257,36047049300.0,6
258,36047049400.0,2
259,36047049500.0,11
260,36047049600.0,1
261,36047049700.0,8
262,36047049900.0,4
263,36047050000.0,1
264,36047050100.0,10
265,36047050202.0,2
266,36047050300.0,11
267,36047050400.0,3
268,36047050500.0,1
269,36047050803.0,2
270,36047051100.0,3
271,36047051300.0,14
272,36047051400.0,1
273,36047051500.0,8
274,36047051601.0,1
275,36047051602.0,1
276,36047051700.0,15
277,36047051900.0,17
278,36047052300.0,19
279,36047052500.0,4
280,36047052600.0,4
281,36047052700.0,5
282,36047054200.0,2
283,36047054900.0,11
284,36047055100.0,11
285,36047055300.0,24
286,36047055400.0,1
287,36047055500.0,10
288,36047055700.0,10
289,36047056100.0,5
290,36047056300.0,7
291,36047056500.0,12
292,36047056900.0,14
293,36047057100.0,4
294,36047057300.0,1
295,36047057400.0,1
296,36047057500.0,12
297,36047057800.0,1
298,36047058200.0,2
299,36047058600.0,1
300,36047058900.0,2
301,36047059000.0,1
302,36047059100.0,1
303,36047059401.0,2
304,36047060000.0,4
305,36047060600.0,2
306,36047060800.0,2
307,36047062200.0,1
308,36047062600.0,1
309,36047062800.0,3
310,36047064000.0,1
311,36047064200.0,2
312,36047065000.0,1
313,36047065200.0,1
314,36047065600.0,1
315,36047065800.0,1
316,36047067600.0,1
317,36047068800.0,1
318,36047069000.0,2
319,36047072600.0,1
320,36047077400.0,1
321,36047078800.0,1
322,36047079400.0,1
323,36047079601.0,2
324,36047079801.0,2
325,36047079802.0,1
326,36047080000.0,2
327,36047080600.0,1
328,36047081600.0,1
329,36047082800.0,2
330,36047083600.0,1
331,36047084600.0,1
332,36047085800.0,1
333,36047086800.0,1
334,36047090200.0,1
335,36047093200.0,2
336,36047094401.0,1
337,36047095000.0,1
338,36047099000.0,1
339,36047107000.0,2
340,36047107800.0,1
341,36047114201.0,1
342,36047114400.0,1
343,36047117400.0,1
344,36047117800.0,1
345,36047118400.0,1
346,36047123700.0,1
347,36047152200.0,2
348,36061000100.0,34
349,36061000700.0,7
350,36061000800.0,1
351,36061000900.0,17
352,36061001200.0,1
353,36061001300.0,19
354,36061001401.0,10
355,36061001402.0,15
356,36061001501.0,11
